"01"|"frase 1"|" Hola "
"02"|"frase 2"|" en que puedo ayudarte? "
"01b"|"frase 1b"|" volvamos a empezar "
"02b"|"frase 2b"|" en que puedo ayudarte? "
"03"|"frase 3"|"De que quieres hablar??"
"04"|"frase 4"|"Por favor, escribe el nuevo diálogo: "
"05"|"frase 5"|"Por favor, escribe la respuesta que deseas: "
"06"|"frase 6"|"El nuevo diálogo es: "
"07"|"frase 7"|"La respuesta al nuevo diálogo es: "
"08"|"frase 8"|"Deseas ingresar otro diálogo??"
"09"|"frase 9"|"Está bien, volvamos al inicio"
"10"|"frase 10"|" llamame si necesitasalgo!! estoy muy contenta de servirte!! "
